Category,Capability,AOD,AAM,DCL,NLQ,AOA,FARM,Platform,Status,Scope,Notes
Pipe Inference,Transport Kind Inference,,A/R,,,,I,,Live,SE/ME,"API, EVENT_STREAM, TABLE, FILE"
Pipe Registry,Compute Schema Hash,,A/R,,,,I,,Live,SE/ME,
Pipe Registry,Serve Pipe Queries,,A/R,,,,I,,Live,SE/ME,
Pipe Registry,Store Declared Pipes,,A/R,,,,I,,Live,SE/ME,
Pipe Registry,Version Pipe Changes,,A/R,,,,I,,Live,SE/ME,
Pipeline Execution,Graph Building,,,A/R,I,,I,,Live,SE/ME,
Pipeline Execution,Narration Broadcasting,,,A/R,I,,I,,Live,SE/ME,
Pipeline Execution,Persona Filtering,,,A/R,I,,I,,Live,SE/ME,
Pipeline Execution,Run Metrics Collection,,,A/R,I,,I,,Live,SE/ME,
Policy & Governance,Agent-level policy evaluation,I,C,C,,A/R,I,,Live,SE/ME,"Autonomy, scope, cost"
Policy & Governance,Autonomy bounds enforcement,I,C,I,,A/R,I,,Live,SE/ME,Guardrails
Policy & Governance,HITL escalation,I,I,C,,A/R,I,,Live,SE/ME,Confidence-based approval
Query Cache,Cache Learning (AI Mode),,,,A/R,,I,,Live,SE/ME,Stores successful parses
Query Cache,LLM Call Tracking,,,,A/R,,I,,Live,SE/ME,Per-session counts with Supabase
Query Cache,Query Cache Lookup,,,,A/R,,I,,Live,SE/ME,EXACT/HIGH/MEDIUM thresholds
Query Cache,Query Learning Log,,,,A/R,,I,,Live,SE/ME,Logs all queries with success/failure
Query Cache,Semantic Query Cache (Pinecone),,,,A/R,,I,,Live,SE/ME,Vector similarity for query matching
Query Cache,Static/AI Mode Routing,,,,A/R,,I,,Live,SE/ME,Mode toggle for speed vs learning
Query Engine,Answer Assembly & Formatting,,,,A/R,,I,,Live,SE/ME,Structures response for consumers
Query Engine,Confidence Scoring,,,,A/R,,C,,Live,SE/ME,"Bounded [0,1] with weighted factors"
Query Engine,Grounding & Citation,,,,A/R,,I,,Live,SE/ME,Attaches evidence to answers
Query Engine,"Intent Classification (POINT, COMPARISON, TREND, AGGREGATION, BREAKDOWN)",,,,A/R,,I,,Live,SE/ME,5 intent types from natural language
Query Engine,LLM-Based Query Parsing,,,,A/R,,I,,Live,SE/ME,Claude API extracts structured JSON
Query Engine,Metric/Dimension Extraction,,,,A/R,,I,,Live,SE/ME,LLM extracts + synonym normalization
Query Engine,Pattern-Based Pre-parsing,,,,A/R,,I,,Live,SE/ME,Regex before LLM for dashboards/viz
Query Engine,"Query Execution (Aggregation, Filtering)",,,R,A,,I,,Live,SE/ME,"NLQ orchestrates, DCL provides data"
Query Engine,Query Planning & Decomposition,,,,A/R,,I,,Live,SE/ME,Breaks complex questions into steps
Query Engine,"Temporal Resolution (last year, Q3, etc.)",,,,A/R,,I,,Live,SE/ME,Interprets time references
Reconciliation,Pipeline execution,C,,,,,A/R,,Live,SE/ME,
Response Generation,Ambiguity Detection,,,,A/R,,I,,Live,SE/ME,"Pattern-based, returns prompts"
Response Generation,Graceful Fallbacks,,,,A/R,,I,,Live,SE/ME,Never show raw errors
Response Generation,Off-Topic Handling,,,,A/R,,I,,Live,SE/ME,"Easter eggs, polite redirects"
Response Generation,Synonym Normalization,,,,A/R,,I,,Live,SE/ME,100+ synonyms → canonical names
Response Generation,Text Response Formatting,,,,A/R,,I,,Live,SE/ME,"Value, unit, period, confidence"
Runner Dispatch,Content Push to DCL,,I,R,I,,A/R,,Live,SE/ME,Farm pushes extracted data to DCL /ingest endpoint
Runner Dispatch,Manifest Dispatch to Farm,,A/R,,I,,R,,Live,SE/ME,AAM constructs and dispatches JobManifest to Farm
Runner Dispatch,Runner Execution (Data Extraction),,I,,I,,A/R,,Live,SE/ME,"Farm receives manifest, connects to external APIs, extracts data"
Runtime,Task Queue Management,,,,,A/R,I,,Live,SE/ME,Moved from FARM (Ops) | AOA owns orchestration logic; Farm owns infra — see Scaling Infrastructure for Farm boundary
Runtime,Worker pool management,I,I,I,,A/R,I,,Live,SE/ME,Scalable execution | AOA owns worker dispatch logic; Farm owns worker pool infra — see Scaling Infrastructure
SOR Identification,Data domain classification,A/R,,,,,C,,Live,SE/ME,
SOR Identification,System of Record scoring,A/R,,,,,C,,Live,SE/ME,
Scaling Infrastructure,Auto-recovery,,,,,I,A/R,,Live,SE/ME,
Scaling Infrastructure,Load balancing,,,,,I,A/R,,Live,SE/ME,
Scaling Infrastructure,Task queue management,,,,,C,A/R,,Live,SE/ME,Farm owns infra; AOA owns orchestration logic — see Runtime for AOA-managed scheduling
Scaling Infrastructure,Worker pool orchestration,,,,,I,A/R,,Live,SE/ME,Farm owns worker pool infra; AOA owns dispatch logic — see Runtime
Scheduling,Cron-based scheduling,,,,,A/R,I,,On Docket,SE/ME,
Scheduling,Event-driven triggers,,,,,A/R,R,,On Docket,SE/ME,
Scheduling,Webhook triggers,,,,,A,R,,On Docket,SE/ME,
Schema Ingestion,Demo Schema Loading,,,A/R,I,,I,,Deprecated,SE/ME,fact_base.json and CSV demo schemas removed. Data enters via Farm → triple conversion → PG
Schema Ingestion,Farm Schema Fetching,,,A/R,I,,C,,Live,SE/ME,From FARM_API_URL
Schema Ingestion,Stream Source Loading,,,A/R,I,,C,,Live,SE/ME,Real-time sources from DB
Security,Context Sanitization,,,,,A/R,C,,Live,SE/ME,Security layer before Agent Logic
Self-Healing,Connection/Fabric Drift Detection,,A/R,,,,I,,Stub,SE/ME,Detects lost connectivity to Plane
Self-Healing,Consumer Lag Detection,,A/R,,,,I,,Stub,SE/ME,Event Bus specific drift
Self-Healing,Execute Self-Heal (Restart Consumers),,A/R,,,,I,,Stub,SE/ME,Restarts Consumers/Reconnects
Self-Healing,Heal History Logging,,A/R,,,,I,,Stub,SE/ME,Audit trail of repairs
Self-Healing,Warehouse Suspend Detection,,A/R,,,,I,,Stub,SE/ME,Warehouse specific drift
Semantic Catalog,Alias Resolution,,,A/R,C,,I,,Live,SE/ME,"'AR' → 'ar', 'attainment' → 'quota_attainment'"
Semantic Catalog,Dimension Definitions,,,A/R,C,,I,,Live,SE/ME,"107 concepts across 9 enterprise domains (Business, Pipeline, Ops, Tech, HR, Finance, Sales, Product, Support)"
Semantic Catalog,Metric Definitions,,,A/R,C,,I,,Live,SE/ME,325 valid concept-dimension pairings across CFO/CRO/COO/CTO/CHRO persona packs
Semantic Catalog,Metric-Dimension Validation,,,A/R,C,,I,,Live,SE/ME,Validates which dimensions apply to which concepts — 325 valid pairings enforced
Semantic Catalog,Semantic Export API,,,A/R,C,,I,,Live,SE/ME,Full catalog for NLQ consumption
Semantic Intelligence,Concept Registry Management,,,A/R,I,,I,,Live,SE/ME,107 concept nodes across 9 enterprise domains
Semantic Intelligence,Concept-Dimension Pairing Validation,,,A/R,I,,,,Live,SE/ME,325 valid pairings — enforced at graph build and query time
Semantic Intelligence,Confidence Scoring,,,A/R,C,,,,Live,SE/ME,0.0-1.0 confidence on concept-dimension mappings; propagated to NLQ answers
Semantic Intelligence,Inference Layer (Graph-based Discovery),,,A/R,C,,I,,Live,SE/ME,Approach 5 Layer 2 — graph traversal discovers implicit relationships between concepts
Semantic Intelligence,Ontology Versioning,,,A/R,I,,,,On Docket,SE/ME,Track ontology changes over time; not yet implemented
Semantic Intelligence,Runtime Resolution (LLM Pathfinding),,,A/R,C,,I,,Live,SE/ME,Approach 5 Layer 3 — LLM resolves ambiguous queries through semantic graph at query time
Semantic Intelligence,Semantic Graph Build & Rebuild,,,A/R,I,,I,,Live,SE/ME,POST /api/dcl/run — auto-trigger on ingest is On Docket (currently manual)
Semantic Intelligence,Skeleton Layer (Curated Ontology),,,A/R,C,,I,,Live,SE/ME,"Approach 5 Layer 1 — hand-curated concept-dimension pairings, authoritative"
Semantic Mapping,Batch Mapping API,,,A/R,I,,I,,Live,SE/ME,Bulk semantic mapping endpoint
Semantic Mapping,Heuristic Mapping (Dev Mode),,,A/R,I,,I,,Live,SE/ME,Pattern matching ~1s
Semantic Mapping,LLM Refinement (Prod Mode),,,A/R,I,,I,,Live,SE/ME,OpenAI + Pinecone RAG ~5s
Semantic Mapping,Mapping Persistence,,,A/R,I,,I,,Live,SE/ME,PostgreSQL storage
Session Management,Row-Level Security,,,,A/R,,I,,Live,SE/ME,Supabase RLS policies
Session Management,Session State (In-Memory),,,,A/R,,I,,Live,SE/ME,"Dashboard state, 2hr TTL"
Session Management,Session Stats Persistence,,,,A/R,,I,,Live,SE/ME,Supabase storage
Session Management,Tenant Isolation,,,,A/R,,I,,Live,SE/ME,tenant_id on all DB queries
Source Normalization,Alias Resolution,,,A/R,I,,C,,Live,SE/ME,
Source Normalization,Discovery Mode (New Sources),,,A/R,I,,C,,Live,SE/ME,
Source Normalization,Pattern Matching,,,A/R,I,,I,,Live,SE/ME,
Source Normalization,Registry Loading,,,A/R,I,,C,,Live,SE/ME,
Tee Request Management,Approve/Reject Tee,,A/R,,,,I,,Live,SE/ME,
Tee Request Management,Create Tee Request,,A/R,,,,I,,Live,SE/ME,
Tee Request Management,Track Tee Status,,A/R,,,,I,,Live,SE/ME,
Telemetry,Metrics Collection,,,A/R,,,I,,Live,SE/ME,
Telemetry,TPS/Quality Calculation,,,A/R,,,C,,Live,SE/ME,
Telemetry,Telemetry Broadcasting,,,A/R,,,I,,Live,SE/ME,
